group,name,entropy_bits_per_byte,original_bytes,compressed_bytes,compression_ratio
bias,bias_p000,0.000000000,1048576,1158,0.001104355
bias,bias_p010,0.468996803,1048576,99789,0.095166206
bias,bias_p020,0.721927713,1048576,140230,0.133733749
bias,bias_p030,0.881291132,1048576,160186,0.152765274
bias,bias_p040,0.970950371,1048576,167435,0.159678459
bias,bias_p050,1.000000000,1048576,166891,0.159159660
bias,bias_p060,0.970950371,1048576,167330,0.159578323
bias,bias_p070,0.881291132,1048576,160206,0.152784348
bias,bias_p080,0.721927713,1048576,140219,0.133723259
bias,bias_p090,0.468996803,1048576,99869,0.095242500
bias,bias_p100,0.000000000,1048576,1158,0.001104355
order,alternating,1.000000000,1048576,1175,0.001120567
order,small_blocks,1.000000000,1048576,1687,0.001608849
order,large_blocks,1.000000000,1048576,1178,0.001123428
order,shuffled,1.000000000,1048576,166949,0.159214973
real,japanese_text,4.709348354,1119863,390525,0.348725692
real,english_text,4.718315491,154498,54323,0.351609730
real,cpp_sources,4.918496674,225825,53245,0.235779918
real,iris_csv,4.342224542,4551,952,0.209184795
real,png_image,7.986615796,298143,294493,0.987757553
real,jpeg_image,7.871955919,192445,164243,0.853454234
real,random_binary,8.000000000,1048576,1049024,1.000427246
